,address,ward,application number,application type,date submitted,status,description,link
0,35 admiral rd,ward 11: university-rosedale,21 157248 ste 11 mv,minor variance,19/05/2021,tlab appeal,"to alter the existing three-storey dwelling by constructing: a front porch, and to permit a front yard parking space and a driveway. also, to alter the interior of the third floor.",http://app.toronto.ca/AIC/index.do?folderRsn=dUVKjT16%2Fgcso2Nwm0ZCpw%3D%3D
1,35 admiral rd,ward 11: university-rosedale,22 117902 s45 11 tlab,toronto local appeal body,28/02/2022,hearing scheduled,"to alter the existing three-storey dwelling by constructing: a front porch, and to permit a front yard parking space and a driveway. also, to alter the interior of the third floor.",http://app.toronto.ca/AIC/index.do?folderRsn=g04ccpw7%2FMhziwFYBBtZLQ%3D%3D
2,6 admiral rd,ward 11: university-rosedale,21 159268 ste 11 mv,minor variance,22/05/2021,postponed,"to alter the existing two-storey semi-detached dwelling by constructing a third storey addition, two-storey rear addition, front porch and rear deck.",http://app.toronto.ca/AIC/index.do?folderRsn=HUGD8ti%2BPzP5UO6ZTo1oXg%3D%3D
3,26 albany ave,ward 11: university-rosedale,22 127776 ste 11 mv,minor variance,28/03/2022,tentatively scheduled,proposed construction of 2-car garage in rear yard of an existing semi-detached house with existing 4-dwelling units.,http://app.toronto.ca/AIC/index.do?folderRsn=4Y0XWDQryZZFVm7UgVEO7A%3D%3D
4,104 avenue rd,ward 11: university-rosedale,21 152076 ste 11 mv,minor variance,8/5/2021,accepted,to alter the existing three-storey semi-detached mixed-use building by constructing a partial third storey addition and a partially covered rooftop patio.,http://app.toronto.ca/AIC/index.do?folderRsn=v4dI%2BqUtOTzMHIu35QV5pQ%3D%3D
5,110 avenue rd,ward 11: university-rosedale,21 207592 ste 11 oz,rezoning,2/9/2021,under review,"zoning by-law amendment to facilitate the development of the site for a 9-storey mixed-use building having a non-residential gross floor area of 350 square metres, and a residential gross floor area of 4,750 square metres.  a total of 45 residential dwelling units are proposed.",http://app.toronto.ca/AIC/index.do?folderRsn=bu3tqLak9d2Vp7Bz2mPfrg%3D%3D
6,121 avenue rd,ward 11: university-rosedale,18 149949 ste 27 sa,site plan approval,27/04/2018,under review,"site plan control application for an 8-storey (29 metres, 34 metres to the top of the mechanical penthouse) mixed-use building with a total gross floor area of 3,300 square metres which includes 286 square metres of retail at grade. a total of 16 dwelling units are proposed.  parking is proposed in the form of automated parking stackers, providing a total of 35 parking spaces.",http://app.toronto.ca/AIC/index.do?folderRsn=X9iL64%2Bim7SgzCVUcfOe6A%3D%3D
7,148 avenue rd,ward 11: university-rosedale,21 178720 ste 11 oz,rezoning,2/7/2021,under review,"zoning by-law amendment application to facilitate the development of a 35-storey mixed-use building, atop a 3-storey podium.  the existing building facade shall be maintained.  the proposed non-residential gross floor area is 374.9 square metres, and the proposed residential gross floor area is 25,295.10 square metres.  a total of 355 residential units are proposed.",http://app.toronto.ca/AIC/index.do?folderRsn=rudwz1kLVrkdMbJ8BDHaoQ%3D%3D
8,21 avenue rd,ward 11: university-rosedale,11 332281 ste 27 oz,rezoning,30/12/2011,closed,"an official plan (file no. 13 126666 ste 27 oz) and zoning by-law amendment (11 332281 ste 27 oz) applications to retain and convert the 31-storey (93 metres tall, plus a 7-metre mechanical penthouse) former four seasons hotel into a mixed-use building; to construct a new 38-storey (120 metres tall, plus a metre mechanical penthouse sloping in height from 2 to 5 metres) mixed-use tower at the corner of avenue road and cumberland street, and a new 10-storey (40.5 metre tall, plus a 5 metre mechanical penthouse) building along yorkville avenue, east of the existing 31-storey building. in total, 803 residential units are proposed.   a total of 363 parking spaces are proposed (294 residential spaces, 4 car share spaces, and 65 commercial spaces within a commercial parking garage) to be provided in a five-level below-grade parking garage.",http://app.toronto.ca/AIC/index.do?folderRsn=mjFHoikec1WfkD%2Bug%2Bsamw%3D%3D
9,33 avenue rd,ward 11: university-rosedale,20 126634 ste 11 oz,rezoning,16/03/2020,council approved,"zoning by-law amendment to permit the redevelopment of the subject site with a 29-storey residential mixed-use building, containing 25,280square meters of residential gross floor area and 4,005square meters of non-residential gross floor area.",http://app.toronto.ca/AIC/index.do?folderRsn=5V3oipejUe2F6QfPZXV4WA%3D%3D
10,140 yorkville ave,ward 11: university-rosedale,12 113502 ste 27 oz,rezoning,27/01/2012,omb appeal,the revised application (4th submission) - proposes to construct a 30 storey (128-metre) mixed-use building with 74 residential units and retail in the first two storeys.  this application has been appealed to the omb by the applicant.,http://app.toronto.ca/AIC/index.do?folderRsn=KFwLFMG6nWTabow%2F5lL2Xw%3D%3D
11,136 yorkville ave,ward 11: university-rosedale,21 237911 ste 11 co,application for consent,15/11/2021,accepted,to obtain consent for a technical severance to re-establish two lots which merged on title.,http://app.toronto.ca/AIC/index.do?folderRsn=caugBR387gNxOEnsXNMHNQ%3D%3D
12,662 bathurst st,ward 11: university-rosedale,20 145341 ste 11 cd,condominium approval,14/05/2020,draft plan approved,draft plan of condominium to convert the existing building into 3 condo units.,http://app.toronto.ca/AIC/index.do?folderRsn=F3g%2B0fBw2sz%2F5PFRO23clw%3D%3D
13,718 bathurst st,ward 11: university-rosedale,22 104343 ste 11 mv,minor variance,15/01/2022,closed,to allow an eating establishment  use within the basement and ground floor levels of the existing mixed use building. the existing second storey dwelling will be maintained and parking will not be reduced.,http://app.toronto.ca/AIC/index.do?folderRsn=yaJURliSdKYSOL7vAehXkw%3D%3D
