,address,ward,application number,application type,date submitted,status,description,link
0,467 spadina rd,ward 12: toronto-st. paul's,21 129379 ste 12 mv,minor variance,19/03/2021,tentatively scheduled,proposal to alter the lawfully existing building by constructing interior alterations to convert the use back to a seventeen unit apartment building containing two bedrooms per unit. scope of work includes proposed common areas in the basement.,http://app.toronto.ca/AIC/index.do?folderRsn=f%2BEnecu%2FHPB21%2FYdXUCzdw%3D%3D
1,732 avenue rd,ward 12: toronto-st. paul's,21 139668 ste 12 co,application for consent,13/04/2021,conditional consent,to obtain consent to sever an existing residential lot into two undersized residential lots and to create an easement/right-of-way.,http://app.toronto.ca/AIC/index.do?folderRsn=XH%2BUd80s8nRqNrA7UbI9Ag%3D%3D
2,1467 bathurst st,ward 12: toronto-st. paul's,17 278700 ste 21 oz,rezoning,22/12/2017,council approved,"february 2020 resubmission: proposed 3 towers at 35-storeys, 30-storey, 30 storey; 824 units; newly proposed community space in tower 1; new bus lay-by on bathurst st; and 2% affordable housing units - in addition to proposed public park, public daycare, pops; 9 m sidewalk on st clair and future interior ttc access.",http://app.toronto.ca/AIC/index.do?folderRsn=TSB1AL78XqnAYTFsTVrbAw%3D%3D
3,1563 bathurst st,ward 12: toronto-st. paul's,22 165168 ste 12 mv,minor variance,20/06/2022,accepted,demolition of 2-storey detached sfd and construction of new 3-storey semi-detached dwelling. part d of four parts.,http://app.toronto.ca/AIC/index.do?folderRsn=qQv1TXKgi9k2%2FU76gCzqDg%3D%3D
4,1563 bathurst st,ward 12: toronto-st. paul's,22 164155 ste 12 co,application for consent,17/06/2022,accepted,to sever lot into 4 parcels and build 2 pairs of 3-storey sfd-semi detached dwellings.,http://app.toronto.ca/AIC/index.do?folderRsn=uukycXmAVDvIqdiEikWCwg%3D%3D
5,1563 bathurst st,ward 12: toronto-st. paul's,22 165163 ste 12 mv,minor variance,20/06/2022,accepted,demolition of 2-storey detached sfd and construction of new 3-storey semi-detached dwelling. part c of four parts.,http://app.toronto.ca/AIC/index.do?folderRsn=yUdeRWpZsmLctKy9YkWNUg%3D%3D
6,1563 bathurst st,ward 12: toronto-st. paul's,22 165153 ste 12 mv,minor variance,20/06/2022,accepted,demolition of 2-storey detached sfd and construction of new 3-storey semi-detached dwelling. part b of four parts.,http://app.toronto.ca/AIC/index.do?folderRsn=F8%2Fq6k1b8P9Zv%2Fsuo0opyw%3D%3D
7,1563 bathurst st,ward 12: toronto-st. paul's,22 164170 ste 12 mv,minor variance,17/06/2022,accepted,demolition of 2-storey detached sfd and construction of new 3-storey semi-detached dwelling. part a of four parts.,http://app.toronto.ca/AIC/index.do?folderRsn=hERmA0ukTifMyeX5tMzN7g%3D%3D
8,1601 bathurst st,ward 12: toronto-st. paul's,19 211934 ste 12 oz,opa & rezoning,26/08/2019,under review,official plan and zoning by-law amendment at 1601 & 1603 bathurst street to facilitate the construction of an new 8-storey apartment building with 79 rental units at 1601 bathurst street.  the existing 4-storey apartment building at 1601 bathurst street with 9 rental units will be demolished.  the existing 6-storey apartment building at 1603 bathurst street with 73 rental units shall be maintained. also see site plan approval application 19 211943 ste 12 sa,http://app.toronto.ca/AIC/index.do?folderRsn=JjjziqdyLqrywWBvXIXh3g%3D%3D
9,1637 bathurst st,ward 12: toronto-st. paul's,18 115438 ste 21 oz,rezoning,09/02/2018,council approved,"a zoning by-law amendment application to permit a 4 storey rental apartment building containing 75 units.   the five existing 3-storey buildings on the site are proposed to be demolished and the existing 25 rental units will be replaced in the new development. the total proposed residential gross floor area is 8,503 square metres, with a floor space index of 2.04 times the area of the lot.  a total of 94 parking spaces and 76 bicycle parking spaces are proposed in the application.",http://app.toronto.ca/AIC/index.do?folderRsn=6IWOU5pskyPUtck8UvPxfA%3D%3D
10,1647 bathurst st,ward 12: toronto-st. paul's,22 133923 ste 12 oz,rezoning,13/04/2022,under review,"zoning by-law amendment application to permit a 4-storey back-to-back townhouse development containing 10 dwelling units, and having a gross floor area of 2,006 square metres.",http://app.toronto.ca/AIC/index.do?folderRsn=zwfZtLwAQD8%2Fdf%2F8jsoEbg%3D%3D
11,1677 bathurst st,ward 12: toronto-st. paul's,16 270455 ste 21 oz,opa & rezoning,23/12/2016,omb appeal,proposal for rezoning and official plan amendment for a 4 storey apartment building consisting of 45 residential units.,http://app.toronto.ca/AIC/index.do?folderRsn=Zh%2FeVZClqCQ8%2FkgQGclPzA%3D%3D
12,23 coulson ave,ward 12: toronto-st. paul's,22 140795 ste 12 mv,minor variance,02/05/2022,tentatively scheduled,"to convert the existing duplex into a triplex by constructing a rear basement walkout. also, a parking pad will be located in the rear yard.",http://app.toronto.ca/AIC/index.do?folderRsn=%2FkoaQ0oU%2FIsw%2F%2Bbi3SQoIA%3D%3D
13,98 dunloe rd,ward 12: toronto-st. paul's,21 245291 ste 12 mv,minor variance,06/12/2021,closed,"to alter the existing 2½-storey detached dwelling by constructing a rear two-storey addition and a rear deck. also, to reconstruct the roof of the existing rear ancillary building (detached garage).",http://app.toronto.ca/AIC/index.do?folderRsn=Uy2XUKqiIHKYVYiqFlM5jw%3D%3D
14,171 dunvegan rd,ward 12: toronto-st. paul's,22 158926 s45 12 tlab,toronto local appeal body,08/06/2022,appeal received by tlab,"to construct a new three-storey detached dwelling with an integral garage, a rear ground floor terrace and a rear third storey balcony.",http://app.toronto.ca/AIC/index.do?folderRsn=S85HvQ7NNr4reN57Q4w7fg%3D%3D
15,171 dunvegan rd,ward 12: toronto-st. paul's,22 117272 ste 12 mv,minor variance,25/02/2022,tlab appeal,"to construct a new three-storey detached dwelling with an integral garage, a rear ground floor terrace and a rear third storey balcony.",http://app.toronto.ca/AIC/index.do?folderRsn=0wYLJIbzc651G2lU%2FXPKkw%3D%3D
16,184 dunvegan rd,ward 12: toronto-st. paul's,15 228005 000 22 mv,minor variance,24/09/2015,omb appeal,"to construct a new three-storey detached dwelling with integral below grade garage, and a rear detached pool cabana.",http://app.toronto.ca/AIC/index.do?folderRsn=NrgeatwR7uyoDd%2BQoWipSw%3D%3D
17,186 dunvegan rd,ward 12: toronto-st. paul's,16 257631 ste 22 mv,minor variance,29/11/2016,closed,to alter the existing two-storey detached dwelling by constructing a rear one-storey addition with a terrace above.,http://app.toronto.ca/AIC/index.do?folderRsn=09pTKOO8QYODT6JzGvhVUg%3D%3D
18,192 dunvegan rd,ward 12: toronto-st. paul's,21 251181 s45 12 tlab,toronto local appeal body,23/12/2021,appeal decision pending,"to construct a new three-storey detached dwelling with front and rear first storey decks, and a rear second storey deck.",http://app.toronto.ca/AIC/index.do?folderRsn=h2YNp%2BsJBlDB%2BdaaMPSb2g%3D%3D
19,192 dunvegan rd,ward 12: toronto-st. paul's,21 194625 ste 12 mv,minor variance,06/08/2021,tlab appeal,"to construct a new three-storey detached dwelling with front and rear first storey decks, and a rear second storey deck.",http://app.toronto.ca/AIC/index.do?folderRsn=4vx4d%2FbAzBQrVAQzM6h0KQ%3D%3D
20,228 dunvegan rd,ward 12: toronto-st. paul's,22 136359 ste 12 mv,minor variance,20/04/2022,hearing scheduled,"to construct a new three-storey detached dwelling with an integral garage, a covered front porch, a rear ground floor terrace with a walk-out basement and a rear third storey balcony.",http://app.toronto.ca/AIC/index.do?folderRsn=n2i0GzfK1dWcVP8UPjsDBQ%3D%3D
21,240 dunvegan rd,ward 12: toronto-st. paul's,22 148212 ste 12 mv,minor variance,18/05/2022,accepted,proposal to construct new 3-storey detached sfd w/ attached garage,http://app.toronto.ca/AIC/index.do?folderRsn=L4EZUBNsaszCg7D8GqHM0Q%3D%3D
22,28 dunvegan rd,ward 12: toronto-st. paul's,22 133935 ste 12 mv,minor variance,13/04/2022,postponed,"to construct a new 3-storey detached dwelling with a new rear open patio and covered porch, first storey front balcony, and second and third storey rear balconies. also to construct a new 1 1/2-storey coach house and install a new swimming pool in the rear yard.",http://app.toronto.ca/AIC/index.do?folderRsn=H%2BxmBj8XjJCtgkflhIYTRw%3D%3D
23,53 dunvegan rd,ward 12: toronto-st. paul's,22 135655 ste 12 mv,minor variance,19/04/2022,tentatively scheduled,"to construct a three-storey building with a rear yard terrace, front porch, and a rear third storey fire safety balcony.",http://app.toronto.ca/AIC/index.do?folderRsn=ckyRhz9iAiakOeI0qnm%2BMg%3D%3D
24,76 dunvegan rd,ward 12: toronto-st. paul's,22 132253 ste 12 mv,minor variance,08/04/2022,postponed,to alter the existing two-storey detached dwelling by constructing a second-storey addition above the existing one-storey area of the dwelling.,http://app.toronto.ca/AIC/index.do?folderRsn=gZeauutiHhwr3neq8SM8UQ%3D%3D
25,69 elderwood dr,ward 12: toronto-st. paul's,22 134839 ste 12 mv,minor variance,14/04/2022,tentatively scheduled,to construct a new two storey detached dwelling.,http://app.toronto.ca/AIC/index.do?folderRsn=hQw%2FMubEJaptdA1iJHbREg%3D%3D
26,202 st clair ave w,ward 12: toronto-st. paul's,19 113008 ste 12 oz,rezoning,07/02/2019,closed,zoning by-law amendment to facilitate redevelopment of the site with a new 9-storey residential building with 85 condominium units with ground level townhomes and a mix of larger suite sizes above.,http://app.toronto.ca/AIC/index.do?folderRsn=SShjSNx3kkS4IBh8E4nI7w%3D%3D
27,211 forest hill rd,ward 12: toronto-st. paul's,21 230561 s45 12 tlab,toronto local appeal body,26/10/2021,decision issued,"to construct a new three-storey detached dwelling with an integral garage, rear deck, front porch, third floor rear balcony and a rear swimming pool.",http://app.toronto.ca/AIC/index.do?folderRsn=LPwFI24t%2FneuB%2FRYXULTEw%3D%3D
28,211 forest hill rd,ward 12: toronto-st. paul's,21 152749 ste 12 mv,minor variance,10/05/2021,tlab appeal,"to construct a new three-storey detached dwelling with an integral garage, rear deck, front porch, third floor rear balcony and a rear swimming pool.",http://app.toronto.ca/AIC/index.do?folderRsn=iIsLIM8L3ETXMBE1ZHlu1Q%3D%3D
29,29 forest hill rd,ward 12: toronto-st. paul's,22 117061 ste 12 mv,minor variance,24/02/2022,closed,"to alter the existing two-and-one-half-storey detached dwelling by constructing a one-storey side addition, a garage expansion and a below grade addition that will connect the existing dwelling to the detached garage.",http://app.toronto.ca/AIC/index.do?folderRsn=edX%2BhWwHG3VmVkDTa2pmEA%3D%3D
30,80 forest hill rd,ward 12: toronto-st. paul's,22 118857 ste 12 co,application for consent,02/03/2022,tentatively scheduled,"to permit a technical consent for a lot addition, to facilitate minor variance applications a0276/22tey and a0277/22tey.",http://app.toronto.ca/AIC/index.do?folderRsn=G%2Fd4dDfnv%2Bz8kOjAw34UKg%3D%3D
31,80 forest hill rd,ward 12: toronto-st. paul's,22 118414 ste 12 mv,minor variance,01/03/2022,tentatively scheduled,to construct a new three-storey detached dwelling.,http://app.toronto.ca/AIC/index.do?folderRsn=jQ2ofxw%2BSZ3gcp9hMuiaHw%3D%3D
