,address,ward,application number,application type,date submitted,status,description,link
0,990 bloor st w,ward 9: davenport,17 207556 ste 18 oz,rezoning,28/07/2017,omb appeal,"zoning by-law amendment for a 11-storey plus mezzanine mixed-use building with a total of  approximately 94 residential units and 7151square metres of residential gross floor area, with approximately 320  square metres of commercial space on the ground floor.",http://app.toronto.ca/AIC/index.do?folderRsn=rcm6akMDZdEFIUSntDxW1A%3D%3D
1,14 bartlett ave,ward 9: davenport,22 114538 ste 09 mv,minor variance,15/02/2022,closed,to alter the existing two-storey semi-detached dwelling by constructing a rear second-storey addition with a rear juliette balcony.,http://app.toronto.ca/AIC/index.do?folderRsn=keDYT7g%2BWdVYGW%2FA1nbSVQ%3D%3D
2,52 bartlett ave,ward 9: davenport,13 241061 ste 18 oz,rezoning,24/09/2013,closed,an application has been filed with the city of toronto to amend the zoning by-law to permit a redevelopment containing 16 residential units and 17 vehicular parking spaces at 50 and 52 bartlett avenue. the proposal is to add a partial third storey to the existing industrial building on 50 bartlett avenue and to construct a three storey building at 52 bartlett avenue with a one-storey component linking the two buildings to form one single l-shaped building.,http://app.toronto.ca/AIC/index.do?folderRsn=j2RC%2F%2FGTSnfZMxliM%2BanCw%3D%3D
3,65 bartlett ave,ward 9: davenport,22 103728 ste 09 mv,minor variance,13/01/2022,closed,"to alter the existing 2½-storey detached dwelling by extending the third storey, constructing a three-storey rear addition, a third storey rear covered deck, a ground floor rear deck and a rear basement walkout. the front stairs will also be replaced.",http://app.toronto.ca/AIC/index.do?folderRsn=ksLODlaK9SuuUcv%2FjyRnVQ%3D%3D
4,270 barton ave,ward 11: university-rosedale,18 250373 ste 19 sa,site plan approval,31/10/2018,noac issued,proposal to construct a new three-storey elementary school for the toronto district catholic school board.,http://app.toronto.ca/AIC/index.do?folderRsn=sLchA3htuDuLmNy5%2F5LcUQ%3D%3D
5,90 croatia st,ward 9: davenport,17 237256 ste 18 oz,opa & rezoning,22/09/2017,omb appeal,"official plan & zoning by-law amendments to facilitate a mixed-use redevelopment of the site:149,055 square metres of res. gfa ; 15,656 square metres of retail/commercial uses; 2,887  square metres of office uses; 2,868 square metres of existing floor area within the kent senior public school.",http://app.toronto.ca/AIC/index.do?folderRsn=vuIiSbol9GJdlaUWNJBlEg%3D%3D
6,737 bloor st w,ward 11: university-rosedale,17 276208 ste 19 sa,site plan approval,15/12/2017,under review,"site plan control application to redevelop the site with a 3-storey mixed use building containing 2  residential units (260m2) and retail at grade (109m2), replacing the existing semi-detached single family dwelling on the site.",http://app.toronto.ca/AIC/index.do?folderRsn=2XOQIE2CI5bh0IvDzRpUcA%3D%3D
7,834 bloor st w,ward 11: university-rosedale,22 125287 s45 11 tlab,toronto local appeal body,22/03/2022,hearing scheduled,to alter the existing two-storey mixed-use building by constructing a rear three-storey addition and full third and fourth storey additions. there will be a rear integral garage and a rear fourth storey terrace.,http://app.toronto.ca/AIC/index.do?folderRsn=BlDLiHKZA8sCrXJscFAtuQ%3D%3D
8,834 bloor st w,ward 11: university-rosedale,21 237636 ste 11 mv,minor variance,15/11/2021,tlab appeal,to alter the existing two-storey mixed-use building by constructing a rear three-storey addition and full third and fourth storey additions. there will be a rear integral garage and a rear fourth storey terrace.,http://app.toronto.ca/AIC/index.do?folderRsn=RwaI7WX3ZST5zqwmFQvRuw%3D%3D
9,451 1/2 brock ave,ward 9: davenport,22 127671 ste 09 mv,minor variance,28/03/2022,accepted,to alter the existing semi-detached dwelling by constructing a new rear detached garage (replacing the existing garage).,http://app.toronto.ca/AIC/index.do?folderRsn=W5wqVUlFUiWfMdkZAfSsXw%3D%3D
10,744 brock ave,ward 9: davenport,22 100318 ste 09 mv,minor variance,4/1/2022,closed,"to alter the existing two-storey semi-detached dwelling by constructing a new two-storey rear addition with a rear ground floor deck. also, to construct an ancillary structure (carport) in the rear yard, abutting the laneway.",http://app.toronto.ca/AIC/index.do?folderRsn=z8ZPyXeHp3J1DPD%2F1Cz7Pg%3D%3D
11,29 carling ave,ward 11: university-rosedale,22 127583 ste 11 mv,minor variance,28/03/2022,tentatively scheduled,to construct a new two-storey detached dwelling by demolishing the existing frame garage.,http://app.toronto.ca/AIC/index.do?folderRsn=D152D7X71qJG%2B0b%2Bc7duOg%3D%3D
